Date,EUR-USD,XAG-USD
2021-09-10 00:00:00+00:00,-0.00093039,-0.01280506
2021-09-13 00:00:00+00:00,-0.00016933,-0.00138769
2021-09-14 00:00:00+00:00,-0.00059274,0.00448468
2021-09-15 00:00:00+00:00,0.00139801,0.00192840
2021-09-16 00:00:00+00:00,-0.00456891,-0.04025105
2021-09-17 00:00:00+00:00,-0.00339992,-0.02351992
2021-09-20 00:00:00+00:00,-0.00021314,-0.00373084
2021-09-21 00:00:00+00:00,-0.00034109,0.00932840
2021-09-22 00:00:00+00:00,-0.00302824,0.00806470
2021-09-23 00:00:00+00:00,0.00496257,-0.00526733
2021-09-24 00:00:00+00:00,-0.00217104,-0.00675751
2021-09-27 00:00:00+00:00,-0.00226061,0.00950023
2021-09-28 00:00:00+00:00,-0.00085499,-0.00603088
2021-09-29 00:00:00+00:00,-0.00723087,-0.04136107
2021-09-30 00:00:00+00:00,-0.00237038,0.02485336
2021-10-01 00:00:00+00:00,0.00190081,0.02042755
2021-10-04 00:00:00+00:00,0.00081847,-0.00187559
2021-10-05 00:00:00+00:00,-0.00180777,0.00039793
2021-10-06 00:00:00+00:00,-0.00349273,0.00170158
2021-10-07 00:00:00+00:00,0.00038944,-0.00315471
2021-10-08 00:00:00+00:00,0.00129763,0.00362944
2021-10-11 00:00:00+00:00,-0.00103757,-0.00210084
2021-10-12 00:00:00+00:00,-0.00199074,-0.00117452
2021-10-13 00:00:00+00:00,0.00576731,0.02358449
